[FREDDOSO_MISSING] I.q1 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q2 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q3 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q4 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q5 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q6 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q7 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q8 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q9 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q10 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q11 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q12 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q13 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q14 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q15 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q16 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q17 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q18 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q19 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q20 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q21 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q22 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q23 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q24 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q25 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q26 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q27 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q28 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q29 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q30 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q31 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q32 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q33 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q34 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q35 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q36 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q37 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q38 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q39 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q40 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q41 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q42 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q43 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q44 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q45 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q46 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q47 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q48 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q49 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q50 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q51 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q52 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q53 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q54 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q55 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q56 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q57 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q58 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q59 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q60 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q61 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q62 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q63 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q64 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q65 listed in coverage_gaps.json but file not found; fell back to Dominican
[FREDDOSO_MISSING] I.q66 listed in coverage_gaps.json but file not found; fell back to Dominican
